ID,h02_laba_1,h02_laba_2,h02_laba_3,h02_slikta_1,h02_slikta_2,h02_slikta_3,h08_tx1,h08_tx2,h08_tx3
1,starptautiska pieredze, , , , , ,98, , 
2,izglītības iespējas,aizsardzības drošība, , , , ,kultūras jomā,studentu apmaiņas programmā, 
3,ES projekti,ceļošana vieglāka,valūta, , , ,ceļošana, , 
4,drošības sajūta,ceļošana,izglītošanās, , , ,rakstījusi ES projektus, , 
5,alianse,"iespējas (izglītība, ceļošana)",Šengenas līgums, , , ,ceļošana bez pases kontroles, , 
6,98, , , , , ,devos ārpus Latvijas, , 
7,vienota valūta,var ceļot,projektu finansēšana, , , ,98, , 
10,sociālā aizsardzība,ceļošanas brīvība,darba izvēles brīvība, , , ,strādājis Eiropā, , 
11,brīvi tirdzniecības pakalpojumi,brīvs biznesa tirgus,vienota valūta, , , ,brīvi pārvietojies pa Eiropu, , 
12,palīdzība finansiālā jomā, , , , , ,varbūt kādu finansiālu pabalstu esmu saņēmusi, , 
13,ceļošanas brīvība,darba izvēles brīvība,eiro, , , ,ceļojusi pa Eiropu,nedaudz pastrādājusi Eiropā, 
14,drošības ziņā ir ieguvums,brīvs tirgus, , , , ,neesmu izmantojusi, , 
18,atbalsts,viss vienots,brīva ceļošana, , , ,piestrādāju Eiropā,brīvi ceļojusi pa Eiropu, 
19,sociālā un finansiālā palīdzība,atbalsts mazāk aizsargātiem cilvēkiem, , , , ,izmantoju bezvīzu režīmu ar Ukrainu, , 
22,var iegūt augstāko izglītību un mācīties brīvi Eiropā,arī ceļot pa Eiropu, , , , ,brīvi pārvietojusies pa Eiropu, , 
25,vienota valūta,brīva pārvietošanās, , , , ,98, , 
26,var dabūt kādu finansiālu atbalstu ekonomikas attīstībai,var brīvi ceļot un strādāt Eiropā, , , , ,izmantoju ceļošanu brīvu pa Eiropu, , 
27,ieguvumi no Eiropas piešķirtās naudas, , , , , ,neko neesmu izmantojusi, , 
29,ir brīva domāšana un pārvietošanās pa ES,kopēja valūta, , , , ,izglītība,ceļošana,pasākumi
34,var mācīties pēc ES programmām,ceļot brīvi pa ES valstīm,vienota valūta, , , ,"visa mana dzīve ir ES, savādāk nemaz nezinu kā dzīvot, visu, ko piedāvā ES, izmantoju, kas atbilst manām vajadzībām", , 
35,esam sabiedroties ar citām ES valstīm,ir vienota norēķinu sistēma - eiro,"iespējas mācīties, atvērtas visas ES valstis", , , ,98, , 
37,viss ir digitalizēts,"ir iespējas mācīties vai strādāt, ceļot uz citām ES valstīm", , , , ,izbraucis ārpus Latvijas,iemācījies angļu valodu, 
38,visur ES vienādi norēķināšanās naudas līdzekļi,var braukt pa visu Eiropu,esam neatkarīga valsts, , , ,98, , 
41,ir vienotas valstis,drošības sajūta,atvērtas robežas, , , ,"atradu patvērumu no Ukrainas kara, jūtos drošībā", , 
42,"esam brīvi, varam ceļot",eiro visiem, , , , ,bērni ir piedalījušies ES apmaiņas programmās,ceļošana, 
44,stabilitāte,var brīvi ceļot,ekonomiskā brīvība, , , ,98, , 
45,palīdz kara bēgļiem,sūta pārtiku un apģērbus, , , , ,nevienu, , 
46,"nav kara, tas ir ļoti svarīgi ne tikai man, bet domāju visai Latvijas tautai", , , , , ,98, , 
47,drošības sajūta, , , , , ,98, , 
49,ceļot,"brīvi mācīties, apgūt valodas", , , , ,98, , 
53,brīva ceļošana Eiropā,piedalīties projektos,brīvi mācīties jebkurā Eiropas valstī, , , ,98, , 
54,"Latvija cenšas, lai nebūtu kara",var ceļot, , , , ,98, , 
55,ceļot mierīgi, , , , , ,98, , 
57,brīvība,ceļojumi,aizsargāti no Krievijas, , , ,neko, , 
59,iespējas dabūt darbu ES,iespējas studēt,iespējas tirgoties ar ES, , , ,sakari lētāki,ceļošana, 
60,var ceļot pa ES,var studēt Eiropā,var strādāt Eiropā, , , ,ceļošana, , 
63,lielāka drošība,iespējas strādāt ES,ceļot var brīvi ES, , , ,lielāka drošība valstī, , 
64,Erasmus iespējas, , , , , ,ceļošana,palielinājās drošība, 
67,var izglītoties,"dažādi kursi, projekti, tas ir labi",var attīstīt biznesu, , , ,iespējas brīvi ceļot ES,izglītoties ES, 
71,iespēja veidot biznesu,iespēja ceļot, , , , ,ceļošanu, , 
72,var braukt brīvi ekskursijās ES, , , , , ,98, , 
73,lielāka drošība,labākas iespējas biznesa attīstībai,lielas iespējas mācīties, , , ,kultūras pasākumus, , 
74,ekonomiski izdevīgi,bezvīzu ceļošana pa ES, , , , ,98, , 
75,iegūstam drošību,varam strādāt ES,varam tirgoties ar ES, , , ,vienoto valūtu,ceļoju brīvi, 
76,atbalsts,aizsargā NATO, , , , ,pārvietojos brīvi, , 
77,var strādāt ES,brīvi ceļot, , , , ,98, , 
79,"labi, ka ES kopā varam cīnīties pret krieviem",kopīgs atbalsts,varam brīvi ceļot, , , ,98, , 
81,"labi, jo atbalsts Latvijas lauksaimniekiem",iespēja studēt visā Eiropā,iespēja brīvi ceļot, , , ,vienota valūta ceļojot, , 
82,kopā esot vienmēr vieglāk,kopīgas sankcijas pret Krieviju,kopīga nauda - eiro, , , ,"priecājos, ka man ir eiro nauda", , 
83,atbalsts zemniekiem,atbalsts uzņēmējiem,"labi, ka varam brīvi ceļot", , , ,98, , 
84,iespēja izmantot vienu valūtu,strādāt visā ES,mācīties visā ES, , , ,izmantojusi vienotu valūtu eiro,ceļojusi, 
85,kopīgi palīdz mūsu lauksaimniekiem,"labi, ka kopīgi varam palīdzēt Ukrainai",kopīgi iznīcināt Krieviju - tas ir labi, , , ,"mācījos, strādāju ES valstīs",brīvi ceļoju, 
89,brīva ceļošana,darbs visā ES un visā Eiropā,mācību apmaiņu programmas, , , ,ceļojumus, , 
90,bezvīzas braukšana,darbs citās valstīs,Erasmus programmas, , , ,darbs bez vīzas,Erasmus projektu izmantoju, 
94,brīvi ceļojumi bez robežām,darbs bija Eiropā,iespēja mācīties citur, , , ,brīvi ceļoju, , 
97,labais - brīva ceļošana,iespēja renovēt mājas,iespēja mācīties citās vietās, , , ,brīvo ceļošanu bez robežām, , 
99,brīva ceļošana,mācības studentiem visā Eiropā,darbs Eiropā, , , ,98, , 
100,iespēja strādāt citās valstīs,brīva ceļošana bez robežām, , , , ,strādāju citā valstī ik pa laikam, , 
101,nav vīzas ES,darbs visā ES,kredīti Latvijai, , , ,98, , 
103,finansiāla palīdzība, , , , , ,brīva ceļošana,suņu izstāde ES, 
106,vienota Eiropa - mēs visi vienādi,"labumi ar kultūru, izglītību, darbu visā Eiropā", , , , ,98, , 
107,brīva braukšana bez robežām visā Eiropā,Erasmus programmas, , , , ,98, , 
109,"darba iespējas ārzemēs, jauniešiem",iestāšanās NATO,vienota valūta, , , ,"biju Polijā, nebija problēmu aizbraukt",paaugstinājusi zināšanas - angļu valodā, 
113,aizsardzība,atbalsts finansiāli,kopīgums ar pārējo ES, , , ,dalība dažādos konkursos - skolās, , 
114,dažādu projektu finansējums,reģionu attīstība,darba tirgus, , , ,ceļošanas iespējas,pašizglītības programmas, 
115,sadarbība ar citām valstīm,ekonomiskie ieguvumi,ceļošanas atvieglojumi, , , ,ceļošana,Eirozonas ieguvumi, 
116,izglītība jaunatnei, , , , , ,98, , 
122,var ceļot,var strādāt ES,var mācīties ES, , , ,98, , 
124,visur ir vienota valūta,darba iespējas, , , , ,98, , 
125,darba iespējas,ceļošana,valūta, , , ,strādāšana ES,kopēja valūta, 
126,finansiālas Latvijas priekšrocības,vienota valūta,iespēja mācīties, , , ,ceļojusi, , 
129,apmaiņas programmas dažādas,iespēja ceļot,visiem eiro norēķini, , , ,studentu apmaiņas programmu, , 
132,lielākas darba iespējas,daudz iespējas ceļot,lielākas iespējas mācīties, , , ,ceļošanu,valūtu, 
134,atvērtas robežas,jauniešiem lielākas izvēles kā dzīvot,darba iespējas, , , ,98, , 
135,bezvīzas braukšana,vienota valūta,izvēles iespējas dzīvot un strādāt, , , ,98, , 
136,eiro - vienota valūta,lielāka drošība, , , , ,eiro, , 
137,personīgi neesmu sajutusi sliktumu, , , , , ,98, , 
139,integrācija pasaules ekonomikā,pieejami izlīdzināšanas fondi,piederība rietumu pasaulei, , , ,"nē, neesmu izmantojis", , 
140,ES pieņem likumu un cenšas uzturēt demokrātiju,"ES fondi, to izlietojums Latvijā, infrastruktūras sakārtošana un citi fondi", , , , ,sakārtoto infrastruktūru izmantoju, , 
141,drošības sajūta lielāka,"vieglāk ceļot, nav robežas",vienota valūta, , , ,ceļoju,dzīvoju Vācijā (kādu laiku), 
143,var strādāt Eiropā un citur,cita domāšana,brīvības sajūta, , , ,sargāju Eiropas Savienības robežu,ES kursos IT jomā biju, 
144,robežas nav,kopējā politiskā un ekonomiskā grupa,Eiropas projekti infrastruktūras sakārtošanai, , , ,izmantoju infrastruktūru,izglītības projektos esmu piedalījusies, 
148,98, , , , , ,ceļojumi, , 
152,Latvija var plašāk paust savu viedokli,ekonomikas priekšrocības,Šengena zona ceļošanai, , , ,brīva pārvietošanās, , 
153,projektu finansējums (Rail Baltic),investīcijas medicīnā,bezvīzu režīms, , , ,programma ERASMUS, , 
154,kopējais tirgus,pārvietošanās brīvība,bagātās valstīs sniedz palīdzību, , , ,bezvīzu ceļošana, , 
157,ļoti daudz darba iespējas, , , , , ,pilsoniskas tiesības, , 
162,robežas ir atvērtas,infrastruktūras uzlabošana, , , , ,izbraukšana uz ārzemēm, , 
164,Eiropa dod naudu,Šengenas zona, , , , ,Šengenas zonas iespējas, , 
165,pati Latvija nevar pastāvēt, , , , , ,ceļojumi,darbs ārzemēs (strādāju ārzemēs), 
166,viss ir kopīgs,robežas atvērtas,valūta, , , ,ceļošana, , 
167,dalība valstu kopējos projektos,Eiropas sabiedrības finansējums, , , , ,ceļojis uz ārzemēm, , 
168,iespēja saņemt finansējumu no Eiropas fondiem, , , , , ,darbs ārzemēs, , 
169,"tiek sniegta palīdzība kritiskos brīžos, ekonomikas stāvokļa pasliktināšanās gadījumā",aizsardzības joma kara apstākļos, , , , ,98, , 
170,var saņemt palīdzību,ceļot pa ES, , , , ,98, , 
171,var ceļot,piedāvāti dažādi projekti, , , , ,nevienu, , 
173,ir dažādās jomās atbalsts, , , , , ,98, , 
174,kopā ir drošāk šobrīd, , , , , ,98, , 
175,var strādāt un mācīties ES,saņemam palīdzību, , , , ,98, , 
176,"ES atbalsta un palīdz gan ar dažādiem projektiem, gan atbalstiem", , , , , ,98, , 
179,var ceļot,viena nauda,ES sniedz palīdzību, , , ,98, , 
180,iespēja ceļot ārzemēs,iespēja strādāt ārzemēs,"dzīvot, mācīties ārzemēs", , , ,esmu ceļojusi uz ārzemēm, , 
181,var ceļot,ES materiālā palīdzība, , , , ,ceļošana, , 
182,ievēro cilvēktiesības,ekonomiski izdevīgi,plašs darba tirgus, , , ,darba iespējas, , 
185,"stiprais balsts Latvijai kā ekonomikā, tā politikā", , , , , ,neko neesmu guvis, , 
186,palīdz Latvijai,palīdz ģimenēm ar bērniem,atbalsts nabadzīgajiem, , , ,vēlēšanas,"valsts palīdzība daudzbērnu ģimenēm (500 eiro katram bērnam, 7 bērni)", 
188,"visu labāko, ko esmu dzīvē saņēmusi, Latvija mums deva ES (pārvietošanos brīvību, iespēju bērniem mācīties ārzemēs un vēl daudz ko citu)", , , , , ,pārvietošanās brīvību, , 
191,var ceļot bez vīzas,NATO aizsardzība,iespēja mācīties ES, , , ,Erasmus, , 
192,drošība,ceļošanu ES robežās,vienota valūta, , , ,98, , 
193,LV var vairāk panākt, , , , , ,neko neizmantoju, , 
196,brīvi var braukt pa Eiropu, , , , , ,98, , 
207,tagad katrs cilvēks var braukt pa ES, , , , , ,98, , 
209,ir iespēja ceļot,mācīties,strādāt kur gribi var, , , ,98, , 
210,augstāks dzīves līmenis,izglītības iespējas jauniešiem, , , , ,meita studējusi Dānijā, , 
215,var pārcelties uz dzīvi citā valstī,izglītības iespējas,attālināts darbs citā valstī, , , ,iepirkšanās eiro,ceļošana, 
216,drošība,ekonomiskais izdevīgums,liberālās vērtības, , , ,ceļojumi, , 
218,pārvietošanās brīvība,dzīves kvalitātes standarti,"piederība eiro zonai, ekonomiskais izdevīgums", , , ,ceļojumi, , 
219,izglītības iespējas,darba iespējas, , , , ,braucu uz citām valstīm, , 
220,izglītības iespējas Boloņas protokols,Šengenas zonas vīza,eirozona, , , ,Erasmus apmaiņas programmu studijās,ceļošana, 
223,brīvais tirgus,vienota valūta,Šengena zona, , , ,brīvo ceļojumu,naudu, 
224,aizsardzība,projektu naudas, , , , ,aizsardzība,brīva ceļošana, 
227,eiro ieviešana,brīva ceļošana pa Eiropas valstīm, , , , ,ceļojusi, , 
228,viena valūta,ceļojumi bez robežām, , , , ,es neko neizmantoju, , 
229,visiem eiro, , , , , ,nekādas, , 
231,ceļojumi bez robežām, , , , , ,98, , 
233,neierobežoti ceļojumi,ieguldītie līdzekļi, , , , ,mācījos universitātē, , 
234,vienota valūta, , , , , ,nekādas, , 
235,finansējums,valūta visiem viena, , , , ,neko, , 
238,98, , , , , ,var brīvi ceļot, , 
239,98, , , , , ,vienota valūta - eiro, , 
240,pieejami struktūrfondi,vienota norēķina sistēma,bez ierobežojumiem ceļojumi, , , ,eiro naudu izmantoju, , 
241,vienota valūta,atvērtas robežas,finansējums, , , ,ceļošana, , 
242,vienota naudas valūta,brīva ceļošana,"savstarpējā vienotība, atbalsts starp valstīm", , , ,"izglītības iespējas, piemēram, Erasmus+", , 
243,iespējas ceļot - daudz atvieglojumu,"vienota valūta, nav jāmaina nauda ceļojot ES", , , , ,ceļošana ES un visas izrietošās privilēģijas, , 
248,brīva kustība ES ietvaros,vienota valūta, , , , ,EVAK,ceļot ES, 
250,"ES stratēģija padarīt Eiropu (un tai skaitā Latviju) stiprāku, vienotāku un varenāku pasaules līmenī","iedzīvotāju aizsardzība, militārā situācija", , , , ,mācības ES programmas ietvaros, , 
253,jo ES Latvijai palīdz krīzes situācijās,esot Eiropas Savienībā Latvija var justies drošāk, , , , ,neko neizmantoju, , 
254,jo tas Latvijai rada drošības sajūtu attiecībā pret agresīvām valstīm,ES palīdz Latvijai pārvarēt ekonomiskās grūtības,ES palīdz lauksaimniecības nozares attīstībai, , , ,neko, , 
255,palīdz Latvijai krīzes situācijās,rada lielāku drošību starp valstu attiecībām,palīdz attīstīt Latvijā lauksaimniecību, , , ,brīva ceļošana pa ES, , 
257,ES dod Latvijai drošības sajūtu,palīdz pārvarēt ekonomiskās grūtības,palīdz finansiāli realizēt dažādus projektus, , , ,nekas nav izmantots, , 
259,ceļošana,iespēja mācīties,strādāt vai, , , ,ceļošana, , 
262,tūrisms attīstās,"darbs, var strādāt ES",studijas iespējas, , , ,98, , 
276,paveras ceļošanas un studiju iespējas,drošāk justies var, , , , ,98, , 
278,finansiāls atbalsts, , , , , ,98, , 
279,iespējas brīvi ceļot visā Eiropā, , , , , ,iespēja brīvi ceļot, , 
285,vienota valūta,"var izvēlēties, kurā valstī strādāt", , , , ,98, , 
286,eiro - vienota valūta,iespēja strādāt visās ES valstīs, , , , ,98, , 
289,brīvi ceļot pa Eiropu, , , , , ,vienota veselības apdrošināšanas karte visiem ES iedzīvotājiem, , 
292,pārvietošanās brīvība,vienota valūta, , , , ,98, , 
294,brīvas ceļošanas iespējas,var mācīties citās valstīs,saprotamāka pasaule, , , ,neko, , 
296,var veikt telefona zvanus Eiropas Savienībā, , , , , ,nekādas, , 
302,drošība, , , , , ,dzīvoju ES, , 
303,drošība pret agresorvalstīm, , , , , ,ceļoju ar Šengenas vīzu, , 
305,aizsardzība no NATO puses,ekonomikas stāvokļa uzlabošana, , , , ,nevienu neesmu izmantojusi, , 
307,svarīgi Latvijas ekonomikai,"svarīgi Latvijas nācijai, jo neesam lieli","paplašina iespējas jaunatnei izglītoties, ietekmi pasaules līmenī", , , ,studijas (pašreiz) ārzemēs, , 
308,piederības sajūta ES,"ES mazāk korupcijas, nelikumību utt.", , , , ,telefona pieslēgums - ES tarifi, , 
310,pieejami ES fondi,brīva ceļošana pa ES, , , , ,brīvi ceļoju, , 
311,ekonomā integrācija ES,ekonomiskā drošība, , , , ,brīvas pārvietošanās iespējas,strādāju ES, 
312,brīvas robežas,"brīva iespēja mācīties, strādāt",viegli ceļot ES, , , ,brīva ceļošana, , 
313,atbalsts no ES,labs piemērs,izaugsme, , , ,pieteikusies uz ES tālākizglītības mācību programmām pieaugušajiem, , 
314,atbalsta finansējums,vienota ekonomiskā zona,stiprs demokrātiskais process, , , ,bezvīzu ceļošana,izglītības apmaiņas programmas,Eiropas finansējumu piesaiste
315,"var ceļot, brīvas robežas",var mācīties ES augstskolās,strādāt ES valstīs, , , ,EVAK karte veselības apdrošināšanai, , 
316,ekonomikā ieguvumi,drošība, , , , ,jaunatnes apmaiņas programmas,Šengenas zonas priekšrocības,"drošību, savā valstī dzīvojot"
317,vieni paši mēs nepastāvētu,valūta (eiro),"ceļošanas, mācību, darba iespējas", , , ,ceļošana,vienotās valūtas norēķini, 
318,"Latvijai ir nepietiekams iedzīvotāju skaits, lai varētu būt kā valsts viena","ģeopolitiskā situācija norāda, ka kopā ir labāk, drošāk",ES mēs esam pilnvērtīgi locekļi, , , ,sakaru tarifi,sakaru tarifi, 
323,mums ir vienota valūta,aizsardzības sistēma,ekonomikas mērķi vienoti, , , ,mācības,ceļošana,darbs ES
324,vienota valūta,"kultūras, sporta sakari, treniņu iespējas, sadarbības","ceļošanas, mācību iespējas", , , ,tūrisms un iepirkšanās,eiro katru dienu izmantoju, 
327,"mums ir darba, mācību iespējas","varam ceļot bez vīzām, robežkontrolēm, vienoti tarifi sakariem",vienotas atbalsta programmas, , , ,galvenokārt valūtu eiro, , 
328,"varam ceļot, mācīties, strādāt",vienota valūta,"dažādu veidu kontrolējošās, uzraugošās institūcijas", , , ,ceļošana,valūta (eiro),strādāju Spānijā
332,"Latvijai ir par mazu ekonomika, lai varētu pastāvēt kopējā ekonomikā", , , , , ,98, , 
334,valsts attīstība,finansiālā drošība,pārvietošanās brīvība, , , ,projekti skolā, , 
336,kopā vairākas valstis, , , , , ,98, , 
337,iespēja parādīt sevi plašāk,palīdzība, , , , ,nekas nav izmantots, , 
338,uzlabojās drošība,uzlabojās ekonomika,viegli ceļot, , , ,ceļošana,eiro, 
340,palīdzība, , , , , ,98, , 
341,dod naudu dažādiem projektiem, , , , , ,bezdarbnieku kursus, , 
342,Eiropas fondi,vienota valūta,vienlīdzības politika, , , ,brīva ceļošana,uzlabota ceļu infrastruktūra,dalība projektos par ES fondu naudu
345,viena valūta,Eiropas nauda,bezvīzu režīms, , , ,nevienu, , 
347,ceļošana,vienota valūta,peojekti, , , ,eiro valūta, , 
348,bezvīzu režīms, , , , , ,ceļoju,vienota valūta, 
349,viena valūta,Eiropas fondi, , , , ,ceļojumi, , 
350,brīva pārvietošanās,eiro ieviešana,projekti, , , ,dzīvoju ES,eiro valūta, 
352,eiro valūta, , , , , ,bezvīzu režīms,euro valūta, 
353,Eiropas naudas pieejamība,aizsardzība, , , , ,nevienu, , 
354,atbalsts,atbalsts lauksaimniekiem,bezvīzu režīms, , , ,neko, , 
356,investīcijas, , , , , ,98, , 
357,piešķirs naudas līdzekļus,drošība, , , , ,98, , 
359,var brīvi ceļot, , , , , ,ceļošana, , 
360,"nav vīzu, brīva ceļošana", , , , , ,brīvu ceļošanu,eiro valūtu, 
361,ceļošanas iespējas,strādāšanas iespējas, , , , ,neko, , 
362,iespēja strādāt ārzemēs, , , , , ,ceļošana, , 
363,aizsardzība,tiek piešķirti līdzekļi, , , , ,98, , 
365,ieplūst investīcijas, , , , , ,98, , 
366,finansiāls atbalsts, , , , , ,ārzemju apmeklējumi, , 
368,valstis savstarpēji sadarbojas, , , , , ,98, , 
369,tā ir drošība,savstarpējas ekonomiskas attiecības, , , , ,98, , 
371,ceļot brīvi bez robežām,brīva tirdzniecība starp valstīm, , , , ,"ceļot, mācīties Dānijā", , 
372,struktūrfondu līdzekļu piesaiste,brīva ceļošana, , , , ,ceļošana,īslaicīgas mācības Lietuvā, 
373,98, , , , , ,98, , 
378,vairāk draudzības starp valstīm,palīdzēt ar ekoloģiju,visu veidu preču pieejamība, , , ,98, , 
382,drošība,finansiāls atbalsts,stabilitāte, , , ,98, , 
384,cilvēktiesību aizsardzība,brīva kustība,dzīves kvalitātes uzlabošana, , , ,98, , 
387,daudz notiek celtniecība ar ES naudu,sniedz palīdzību Ukrainai,Erasmus programmas, , , ,98, , 
388,neliela drošības sajūta, , , , , ,98, , 
390,iespēja ceļot,var mācīties ES valstīs, , , , ,Erasmus, , 
391,98, , , , , ,nekādas, , 
392,"tiek renovēti bērnudārzi, skolas",brīva ceļošana,"dažādi fondi, finansiāls atbalsts", , , ,98, , 
